Atom,MW,EN,RC,Ratio,Zn2+,Mn2+,Potential Windows,Current Density,Specific Capacity
Eu,151.96,1.2,0.947,0.1,2,0.1,1.1,0.6,144.12603
Eu,151.96,1.2,0.947,0.1,2,0.1,1.1,0.8,85.37051
Eu,151.96,1.2,0.947,0.1,2,0.1,1.1,1,36.31387
Eu,151.96,1.2,0.947,0.067,2,0.1,1.1,0.2,281.31595
Eu,151.96,1.2,0.947,0.067,2,0.1,1.1,0.4,249.9703
Eu,151.96,1.2,0.947,0.067,2,0.1,1.1,0.6,177.43957
Eu,151.96,1.2,0.947,0.067,2,0.1,1.1,0.8,108.84461
Eu,151.96,1.2,0.947,0.067,2,0.1,1.1,1,69.62741
Eu,151.96,1.2,0.947,0.05,2,0.1,1.1,0.2,328.40471
Eu,151.96,1.2,0.947,0.05,2,0.1,1.1,0.4,265.71341
Eu,151.96,1.2,0.947,0.05,2,0.1,1.1,0.6,189.2469
Eu,151.96,1.2,0.947,0.05,2,0.1,1.1,0.8,132.45927
Eu,151.96,1.2,0.947,0.05,2,0.1,1.1,1,93.24206
Eu,151.96,1.2,0.947,0.04,2,0.1,1.1,0.2,246.03453
Eu,151.96,1.2,0.947,0.04,2,0.1,1.1,0.4,179.40746
Eu,151.96,1.2,0.947,0.04,2,0.1,1.1,0.6,114.74827
Eu,151.96,1.2,0.947,0.04,2,0.1,1.1,0.8,79.46685
Eu,151.96,1.2,0.947,0.04,2,0.1,1.1,1,46.15331
Eu,151.96,1.2,0.947,0.033,2,0.1,1.1,0.2,238.16298
Eu,151.96,1.2,0.947,0.033,2,0.1,1.1,0.4,159.86914
Eu,151.96,1.2,0.947,0.033,2,0.1,1.1,0.6,83.40262
Bi,208.98,2.02,1.03,0.09,2,0.1,1.1,0.1,176.1
Bi,208.98,2.02,1.03,0.09,2,0.1,1.1,0.2,150.8
Bi,208.98,2.02,1.03,0.09,2,0.1,1.1,0.4,130.8
Bi,208.98,2.02,1.03,0.09,2,0.1,1.1,0.8,107.3
Bi,208.98,2.02,1.03,0.09,2,0.1,1.1,1.2,88.9
Bi,208.98,2.02,1.03,0.09,2,0.1,1.1,2,65.9
Bi,208.98,2.02,1.03,0.03,2,0.2,0.8,0.1,348.16696
Bi,208.98,2.02,1.03,0.03,2,0.2,0.8,0.2,304.91318
Bi,208.98,2.02,1.03,0.03,2,0.2,0.8,0.4,251.09453
Bi,208.98,2.02,1.03,0.03,2,0.2,0.8,0.6,218.15702
Bi,208.98,2.02,1.03,0.03,2,0.2,0.8,0.8,197.40018
Bi,208.98,2.02,1.03,0.03,2,0.2,0.8,1,173.16314
Bi,208.98,2.02,1.03,0.03,2,0.2,0.8,1.5,129.78507
Bi,208.98,2.02,1.03,0.03,2,0.2,0.8,2,100.32775
Bi,208.98,2.02,1.03,0.03,2,0.2,0.8,3,70.87043
Bi,208.98,2.02,1.03,0.06,2,0.2,0.8,0.1,365.56791
Bi,208.98,2.02,1.03,0.06,2,0.2,0.8,0.2,327.41012
Bi,208.98,2.02,1.03,0.06,2,0.2,0.8,0.4,284.03204
Bi,208.98,2.02,1.03,0.06,2,0.2,0.8,0.6,247.61434
Bi,208.98,2.02,1.03,0.06,2,0.2,0.8,0.8,214.67683
Bi,208.98,2.02,1.03,0.06,2,0.2,0.8,1,193.91999
Bi,208.98,2.02,1.03,0.06,2,0.2,0.8,1.5,155.7622
Bi,208.98,2.02,1.03,0.06,2,0.2,0.8,2,131.52516
Bi,208.98,2.02,1.03,0.06,2,0.2,0.8,3,98.58766
Bi,208.98,2.02,1.03,0.09,2,0.2,0.8,0.1,329.15021
Bi,208.98,2.02,1.03,0.09,2,0.2,0.8,0.2,290.99242
Bi,208.98,2.02,1.03,0.09,2,0.2,0.8,0.4,237.29807
Bi,208.98,2.02,1.03,0.09,2,0.2,0.8,0.6,204.36056
Bi,208.98,2.02,1.03,0.09,2,0.2,0.8,0.8,178.25914
Bi,208.98,2.02,1.03,0.09,2,0.2,0.8,1,160.98248
Bi,208.98,2.02,1.03,0.09,2,0.2,0.8,1.5,122.82469
Bi,208.98,2.02,1.03,0.09,2,0.2,0.8,2,95.10747
Bi,208.98,2.02,1.03,0.09,2,0.2,0.8,3,65.65015
Bi,208.98,2.02,1.03,0.12,2,0.2,0.8,0.1,308.26907
Bi,208.98,2.02,1.03,0.12,2,0.2,0.8,0.2,277.07166
Bi,208.98,2.02,1.03,0.12,2,0.2,0.8,0.4,228.59759
Bi,208.98,2.02,1.03,0.12,2,0.2,0.8,0.6,192.17989
Bi,208.98,2.02,1.03,0.12,2,0.2,0.8,0.8,167.94286
Bi,208.98,2.02,1.03,0.12,2,0.2,0.8,1,150.54191
Bi,208.98,2.02,1.03,0.12,2,0.2,0.8,1.5,115.86431
Bi,208.98,2.02,1.03,0.12,2,0.2,0.8,2,88.14709
Bi,208.98,2.02,1.03,0.12,2,0.2,0.8,3,60.42986
