MW,EN,RC,Ratio,Zn2+,Mn2+,Potential Windows,Current Density
208.98,2.02,1.03,0.12,2.0,0.2,0.8,0.6
58.69,1.91,0.69,0.1932,3.0,0.2,0.9,0.1
208.98,2.02,1.03,0.09,2.0,0.2,0.8,1.0
151.96,1.2,0.947,0.067,2.0,0.1,1.1,1.0
39.09,0.82,1.38,0.14,2.0,0.1,1.0,0.8
39.09,0.82,1.38,0.14,2.0,0.1,1.0,0.1
88.9,1.22,0.9,0.0046,3.0,0.1,1.0,0.5
104.86,1.93,1.26,0.1,2.0,0.1,1.0,0.05
208.98,2.02,1.03,0.12,2.0,0.2,0.8,2.0
95.94,2.16,0.65,0.0155,2.0,0.1,0.9,2.0
65.41,1.65,0.74,0.16,2.0,0.1,0.9,2.0
39.09,0.82,1.38,0.29,2.5,0.2,0.9,1.0
39.09,0.82,1.38,0.42,2.0,0.1,0.85,2.0
151.96,1.2,0.947,0.1,2.0,0.1,1.1,0.4
151.96,1.2,0.947,0.04,2.0,0.1,1.1,0.8
22.99,0.93,1.02,0.22,2.0,0.2,0.9,3.08
63.55,1.9,0.73,0.0595,2.0,0.2,1.1,0.3
208.98,2.02,1.03,0.06,2.0,0.2,0.8,0.8
104.86,1.93,1.26,0.1,2.0,0.1,1.0,0.2
208.98,2.02,1.03,0.09,2.0,0.1,1.1,0.1
63.55,1.9,0.73,0.1,2.0,0.2,1.1,2.0
55.85,1.83,0.645,0.1958,3.0,0.2,0.9,0.3
63.55,1.9,0.73,0.06,2.0,0.1,1.1,0.1
39.09,0.82,1.38,0.1,2.0,0.1,0.8,0.2
39.09,0.82,1.38,0.18,2.0,0.4,1.1,1.0
138.91,1.1,1.064,0.006,1.0,0.4,1.1,0.8
55.85,1.83,0.645,0.0015,2.0,0.1,0.9,2.0
208.98,2.02,1.03,0.12,2.0,0.2,0.8,3.0
22.99,0.93,1.02,0.22,2.0,0.2,0.9,2.464
95.94,2.16,0.65,0.0155,2.0,0.1,0.9,3.0
39.09,0.82,1.38,0.07,3.0,0.2,1.1,1.54
40.08,1.0,0.99,0.28,1.0,0.1,1.5,0.7
208.98,2.02,1.03,0.03,2.0,0.2,0.8,2.0
39.09,0.82,1.38,0.1,2.0,0.1,0.8,2.0
